City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
4,Saint-Philippe,RE,86.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Tabou,CI,77.94,clear sky,4.423,-7.3528,hotêl doufoulougou
11,Swan Hill,AU,82.0,clear sky,-35.3378,143.5544,Lazy River Motor Inn
17,Busselton,AU,90.0,clear sky,-33.65,115.3333,Observatory Guest House
19,Butaritari,KI,81.52,broken clouds,3.0707,172.7902,Isles Sunset Lodge
22,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
26,Faanui,PF,82.42,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Rikitea,PF,79.43,scattered clouds,-23.1203,-134.9692,Pension Maro'i
46,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
52,Martapura,ID,86.0,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
55,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
62,Galle,LK,81.91,clear sky,6.0367,80.217,Amangalla
66,Atuona,PF,79.2,broken clouds,-9.8,-139.0333,Villa Enata
68,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
78,Souillac,MU,80.6,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
79,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
97,Natal,BR,77.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
102,Gizo,SB,86.45,scattered clouds,-8.103,156.8419,Imagination Island
105,Marawi,PH,82.0,scattered clouds,7.9986,124.2928,Derogongan Residence
112,Patrocinio,BR,75.2,broken clouds,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
114,Hithadhoo,MV,81.82,scattered clouds,-0.6,73.0833,Scoop Guest House
115,Manta,EC,77.0,overcast clouds,-0.95,-80.7333,Balandra Hotel
128,Puerto Carreno,CO,80.19,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
129,Murray Bridge,AU,78.01,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
134,Kingaroy,AU,82.4,scattered clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
135,Sao Joao Da Barra,BR,76.66,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
150,Angoche,MZ,77.86,light rain,-16.2325,39.9086,Guest House HESADA
156,Puerto Escondido,MX,76.21,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
157,Galesong,ID,84.2,moderate rain,-5.3166,119.3661,Sapriadi Appy
158,Bambous Virieux,MU,82.99,broken clouds,-20.3428,57.7575,Casa Tia Villa
159,Itarema,BR,78.26,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
163,Ransang,PH,83.66,few clouds,8.9603,117.5828,Mapangcal Cove
164,Saint-Pierre,RE,86.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
166,Sechura,PE,77.22,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
168,Port Pirie,AU,78.8,scattered clouds,-33.1833,138.0167,John Pirie Motor Inn
172,Alugan,PH,80.78,overcast clouds,12.2188,125.4808,JM Lodge
173,Kavieng,PG,83.37,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
198,Iguape,BR,75.94,light rain,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
206,Grand Gaube,MU,84.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
208,Dingle,PH,81.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
217,Lorengau,PG,82.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
229,Xai-Xai,MZ,75.52,clear sky,-25.0519,33.6442,Complexo da Familia
231,Mombasa,KE,78.8,broken clouds,-4.0547,39.6636,New Palm Tree Hotel
232,Iracoubo,GF,77.49,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
246,Poum,NC,80.33,clear sky,-20.2333,164.0167,Gîte kajeon
248,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
250,Trat,TH,89.01,few clouds,12.5,102.5,สวนหนิง-อัศ
251,Piacabucu,BR,77.65,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
261,Esperance,AU,84.2,clear sky,-33.8667,121.9,Hospitality Esperance
265,Nanfeng,CN,78.48,clear sky,23.7434,111.7959,Nanfeng Hotel
266,Cidreira,BR,75.18,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
272,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
273,Sibolga,ID,86.63,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
