,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,75.2,94,90,9.22,light rain
1,Punta Arenas,CL,-53.15,-70.9167,48.2,71,0,28.77,clear sky
2,East London,ZA,-33.0153,27.9116,68.0,94,20,2.3,few clouds
3,Upernavik,GL,72.7868,-56.1549,-9.38,85,84,4.27,broken clouds
4,Saint-Philippe,RE,-21.3585,55.7679,86.0,54,0,3.44,light rain
5,Kruisfontein,ZA,-34.0033,24.7314,57.0,92,0,1.99,clear sky
6,Amapa,BR,1.0,-52.0,71.31,99,64,2.13,broken clouds
7,Bluff,NZ,-46.6,168.3333,57.92,75,98,10.74,moderate rain
8,Tabou,CI,4.423,-7.3528,77.94,89,2,5.86,clear sky
9,Yellowknife,CA,62.456,-114.3525,-18.0,76,1,4.61,clear sky
10,Cape Town,ZA,-33.9258,18.4232,68.0,82,75,9.22,broken clouds
11,Swan Hill,AU,-35.3378,143.5544,82.0,20,0,7.67,clear sky
12,Ushuaia,AR,-54.8,-68.3,48.2,61,0,9.22,clear sky
13,Altay,CN,47.8667,88.1167,15.26,80,0,2.53,clear sky
14,Torbay,CA,47.6666,-52.7314,28.99,93,90,16.11,light snow
15,Moyamba,SL,8.1667,-12.4333,71.76,93,1,1.01,clear sky
16,Pisco,PE,-13.7,-76.2167,69.8,78,0,12.66,clear sky
17,Busselton,AU,-33.65,115.3333,90.0,37,0,5.01,clear sky
18,Qaanaaq,GL,77.484,-69.3632,-4.54,84,99,0.96,overcast clouds
19,Butaritari,KI,3.0707,172.7902,81.52,79,52,18.25,broken clouds
20,Port Alfred,ZA,-33.5906,26.891,64.0,92,17,3.44,few clouds
21,Tiksi,RU,71.6872,128.8694,-27.08,86,100,4.27,overcast clouds
22,Hilo,US,19.7297,-155.09,75.2,69,75,4.61,light rain
23,Provideniya,RU,64.3833,-173.3,-8.91,84,100,16.64,overcast clouds
24,Mayo,US,38.8876,-76.5119,32.0,74,1,4.83,clear sky
25,Luderitz,NA,-26.6481,15.1594,63.23,69,0,15.9,clear sky
26,Faanui,PF,-16.4833,-151.75,82.42,67,97,5.93,overcast clouds
27,Hasaki,JP,35.7333,140.8333,54.0,30,20,18.41,few clouds
28,Mahebourg,MU,-20.4081,57.7,80.6,78,75,8.05,broken clouds
29,Ostrovnoy,RU,68.0531,39.5131,15.69,95,100,7.47,overcast clouds
30,Boone,US,39.0334,-92.3335,42.01,86,100,8.99,overcast clouds
31,Columbus,US,39.9612,-82.9988,30.0,86,90,10.36,light snow
32,Ilulissat,GL,69.2167,-51.1,8.6,66,90,2.3,overcast clouds
33,Inongo,CD,-1.95,18.2667,72.32,94,100,3.91,overcast clouds
34,La Ronge,CA,55.1001,-105.2842,12.2,79,5,1.7,clear sky
